"","value"
"1","1072059176"
"2","482356368"
"3","5813056909"
"4","5813021112"
"5","1140245595"
"6","542751938"
"7","5813023322"
"8","634888570"
"9","1100404634"
"10","981000564"
"11","1011055060"
"12","1040004619"
"13","1009984360"
"14","1069351982"
"15","953013850"
"16","1100404581"
"17","1006984280"
"18","1283190163"
"19","1134107162"
"20","1039335355"
"21","1071044860"
"22","1005252630"
"23","1603757560"
"24","1139909038"
"25","1048846074"
"26","2097928626"
"27","1010718372"
"28","1043696307"
"29","1040013335"
"30","1010713981"
"31","1043117106"
"32","5813087868"
"33","1044403618"
"34","1070379357"
"35","5813075030"
"36","1074782432"
"37","1103792936"
"38","1635833170"
"39","1038636222"
"40","482684855"
"41","422997837"
"42","985835016"
"43","1010713958"
"44","823062947"
"45","1666561406"
"46","1634140884"
"47","517885151"
"48","1102091961"
"49","1155263986"
"50","1040328771"
"51","1262356170"
"52","707116522"
"53","550655668"
"54","1655997973"
"55","1566597156"
"56","519949044"
"57","1785926866"
"58","5813055134"
"59","1963869286"
"60","5813026936"
"61","887195902"
"62","1072063538"
"63","5813050455"
"64","5813021075"
"65","698016469"
"66","729742221"
"67","5813021079"
"68","5813057864"
"69","2307027729"
"70","1140249804"
"71","1168915489"
"72","1572390197"
"73","1634805202"
"74","642728308"
"75","1097917138"
"76","1135837629"
"77","1067240551"
"78","1352077058"
"79","1418618235"
"80","699031185"
"81","1904885509"
"82","1477239390"
"83","1963523237"
"84","1812488920"
"85","5812987034"
"86","5813022608"
"87","1292713484"
"88","1222876929"
"89","1170939344"
"90","5813005259"
"91","1535198939"
"92","5813000953"
"93","1477239137"
"94","1292713151"
"95","5812991822"
"96","1842850638"
"97","1140923511"
"98","5813022629"
"99","1812485095"
"100","2036878120"
"101","5813133660"
"102","1687977896"
"103","1812497812"
"104","1720070867"
"105","5813123748"
"106","1508274233"
"107","5813054186"
"108","1140249852"
"109","1847944705"
"110","1666492660"
"111","1508274054"
"112","1875590941"
"113","5813032590"
"114","5813053990"
"115","1200286383"
"116","1192848260"
"117","1375245983"
"118","5813057723"
"119","1323407050"
"120","1262014782"
"121","5813082239"
"122","1510998750"
"123","1315253052"
"124","1627277351"
"125","1656282488"
"126","1508274264"
"127","858604499"
"128","5813022548"
"129","1627618361"
"130","1539309006"
"131","5813054996"
"132","5813057245"
"133","5813069512"
"134","1449955631"
"135","707190304"
"136","800920725"
"137","328265182"
"138","419337157"
"139","1791391565"
"140","548937579"
"141","482421242"
"142","358290727"
"143","419669547"
"144","488223252"
"145","607260192"
"146","425462513"
"147","451689001"
"148","482071463"
"149","451071417"
"150","1289285572"
"151","2094881374"
"152","1787636059"
"153","450971893"
"154","455172836"
"155","5813011471"
"156","1914171250"
"157","5813047199"
"158","298275356"
"159","1343139850"
"160","1228264951"
"161","5813021093"
"162","1405231475"
"163","1446527869"
"164","5813057178"
"165","1405947932"
"166","1258631261"
"167","1466998977"
"168","1655962914"
"169","1436667616"
"170","1466688033"
"171","5813023910"
"172","1405300548"
"173","5813095193"
"174","5813022707"
"175","1252160243"
"176","1436703256"
"177","1318986524"
"178","915857055"
"179","5812990537"
"180","5812994890"
"181","1219738275"
"182","1219056506"
"183","1625537295"
"184","2034477252"
"185","5813078074"
"186","5813047935"
"187","1318304936"
"188","1200619473"
"189","982684196"
"190","1406966879"
"191","5813078116"
"192","1406000196"
"193","1037393225"
"194","1715999506"
"195","5813012529"
"196","5813020864"
"197","603477954"
"198","5812980506"
"199","513447083"
"200","574834955"
"201","603478303"
"202","5813067334"
"203","295063181"
"204","571346836"
"205","5813024015"
"206","1565846637"
"207","1226887763"
"208","1281324958"
"209","5813078134"
"210","1344253853"
"211","5813020512"
"212","1405300499"
"213","1467357251"
"214","1467694006"
"215","1436330964"
"216","1467698336"
"217","5813050779"
"218","5813108230"
"219","5813056516"
"220","1655626125"
"221","1405300458"
"222","1498033920"
"223","1507933560"
"224","1498383456"
"225","1654940174"
"226","1684204798"
"227","1815895547"
"228","5813045400"
"229","5812993956"
"230","5813054498"
"231","5813068840"
"232","1344249576"
"233","1745333830"
"234","1197234751"
"235","1044218225"
"236","1158074778"
"237","297921642"
"238","297925719"
"239","362719326"
"240","388975834"
"241","545501062"
"242","602071049"
"243","603167111"
"244","604476368"
"245","665897487"
"246","669856713"
"247","694299183"
"248","696617614"
"249","823852745"
"250","852906243"
"251","853173648"
"252","891771553"
"253","945237807"
"254","946339109"
"255","954023855"
"256","975910355"
"257","978643042"
"258","984030630"
"259","1008400018"
"260","1068441202"
"261","1158402729"
"262","1169359181"
"263","1196526636"
"264","1197455013"
"265","1197847302"
"266","1220412108"
"267","1222519065"
"268","1228265278"
"269","1251810443"
"270","1252833634"
"271","1283514079"
"272","1284213691"
"273","1313261883"
"274","1344695030"
"275","1345285966"
"276","1348312221"
"277","1374269852"
"278","1375284097"
