G,N,geo,h2o,PI,epf
DNp42/TNT+,5,12,18,-0.2,6
DNp42/TNT+,5,18,17,0.028571429,7
DNp42/TNT+,5,12,16,-0.142857143,5.6
DNp42/TNT+,5,60,55,0.043478261,23
DNp42/TNT+,5,15,35,-0.4,10
DNp42/TNT+,5,28,22,0.12,10
DNp42/TNT+,5,42,36,0.076923077,15.6
DNp42/TNT+,5,48,58,-0.094339623,21.2
DNp42/TNT+,5,53,51,0.019230769,20.8
DNp42/TNT+,5,46,62,-0.148148148,21.6
DNp42/TNT+,5,126,64,0.326315789,38
DNp42/TNT+,5,78,70,0.054054054,29.6
DNp42/TNT+,5,102,64,0.228915663,33.2
DNp42/TNT+,5,67,102,-0.207100592,33.8
DNp42/TNT+,5,73,65,0.057971014,27.6
DNp42/TNT+,5,12,15,-0.111111111,5.4
DNp42/TNT+,5,19,25,-0.136363636,8.8
DNp42/TNT+,5,23,24,-0.021276596,9.4
DNp42/TNT+,5,15,35,-0.4,10
DNp42/TNT-,5,17,74,-0.626373626,18.2
DNp42/TNT-,5,19,62,-0.530864198,16.2
DNp42/TNT-,5,18,38,-0.357142857,11.2
DNp42/TNT-,5,24,44,-0.294117647,13.6
DNp42/TNT-,5,20,23,-0.069767442,8.6
DNp42/TNT-,5,7,47,-0.740740741,10.8
DNp42/TNT-,5,8,16,-0.333333333,4.8
DNp42/TNT-,5,12,49,-0.606557377,12.2
DNp42/TNT-,5,2,52,-0.925925926,10.8
DNp42/TNT-,5,4,78,-0.902439024,16.4
DNp42/TNT-,5,57,27,0.357142857,16.8
DNp42/TNT-,5,56,55,0.009009009,22.2
DNp42/TNT-,5,53,62,-0.07826087,23
DNp42/TNT-,5,48,64,-0.142857143,22.4
DNp42/TNT-,5,37,39,-0.026315789,15.2
DNp42/TNT-,5,63,3,0.909090909,13.2
DNp42/TNT-,5,11,8,0.157894737,3.8
DNp42/TNT-,5,20,25,-0.111111111,9
DNp42/TNT-,5,5,25,-0.666666667,6
DNp42/TNT-,5,21,48,-0.391304348,13.8
DNp42/TNT-,5,12,55,-0.641791045,13.4
DNp42/+,5,42,72,-0.263157895,22.8
DNp42/+,5,12,46,-0.586206897,11.6
DNp42/+,5,15,66,-0.62962963,16.2
DNp42/+,5,16,107,-0.739837398,24.6
DNp42/+,5,31,66,-0.360824742,19.4
DNp42/+,5,36,38,-0.027027027,14.8
DNp42/+,5,37,43,-0.075,16
DNp42/+,5,10,108,-0.830508475,23.6
DNp42/+,5,20,56,-0.473684211,15.2
DNp42/+,5,35,63,-0.285714286,19.6
DNp42/+,5,9,110,-0.848739496,23.8
DNp42/+,5,9,99,-0.833333333,21.6
DNp42/+,5,12,77,-0.730337079,17.8
DNp42/+,5,11,78,-0.752808989,17.8
DNp42/+,5,17,120,-0.751824818,27.4
DNp42/+,5,20,129,-0.731543624,29.8
DNp42/+,5,3,27,-0.8,6
DNp42/+,5,10,39,-0.591836735,9.8
TNT+/+,5,7,88,-0.852631579,19
TNT+/+,5,22,53,-0.413333333,15
TNT+/+,5,4,100,-0.923076923,20.8
TNT+/+,5,5,54,-0.830508475,11.8
TNT+/+,5,4,76,-0.9,16
TNT+/+,5,21,96,-0.641025641,23.4
TNT+/+,5,12,75,-0.724137931,17.4
TNT+/+,5,18,55,-0.506849315,14.6
TNT+/+,5,8,98,-0.849056604,21.2
TNT+/+,5,10,95,-0.80952381,21
TNT+/+,5,17,64,-0.580246914,16.2
TNT+/+,5,15,88,-0.708737864,20.6
TNT+/+,5,19,48,-0.432835821,13.4
TNT+/+,5,27,78,-0.485714286,21
TNT+/+,5,47,68,-0.182608696,23
TNT+/+,5,28,142,-0.670588235,34
