,bodyid,name,type,PN_type,tract,glomerulus,lineage,hemisphere
1,698508565,V_ilPN,V_ilPN,uPN,lALT,V,ilPN,FIB
2,2064165421,V_ilPN,V_ilPN,uPN,lALT,V,ilPN,FIB
3,5813039235,DM6_adPN_R,DM6_adPN,uPN,mALT,DM6,adPN,FIB
4,1849684319,VC5_lvPN_R,VC5_lvPN,uPN,mALT,VC5,lvPN,FIB
5,632751823,VC5_lvPN_R,VC5_lvPN,uPN,mALT,VC5,lvPN,FIB
6,5813055184,D_adPN_R,D_adPN,uPN,mALT,D,adPN,FIB
7,1536947502,D_adPN_R,D_adPN,uPN,mALT,D,adPN,FIB
8,5813038889,D_adPN_R,D_adPN,uPN,mALT,D,adPN,FIB
9,1734350908,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1,lPN,FIB
10,1765040289,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1,lPN,FIB
11,754534424,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1,lPN,FIB
12,754538881,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1,lPN,FIB
13,1734350788,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1,lPN,FIB
14,722817260,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1,lPN,FIB
15,5813039315,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1,lPN,FIB
16,1796818119,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2,lPN,FIB
17,1827516355,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2,lPN,FIB
18,1796817841,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2,lPN,FIB
19,818983130,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2,lPN,FIB
20,1797505019,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2,lPN,FIB
21,1703683361,DA3_adPN_R,DA3_adPN,uPN,mALT,DA3,adPN,FIB
22,666135689,DA3_adPN_R,DA3_adPN,uPN,mALT,DA3,adPN,FIB
23,544021095,DA4l_adPN_R,DA4l_adPN,uPN,mALT,DA4l,adPN,FIB
