G,N,geo,h2o,OI,epf,conc,comments,date
CantonS,5,5,21,-0.615384615,5.2,10_3',,
CantonS,5,10,121,-0.847328244,26.2,10_3',,
CantonS,5,21,38,-0.288135593,11.8,10_3',,
CantonS,5,3,64,-0.910447761,13.4,10_3',,
CantonS,5,2,58,-0.933333333,12,10_3',,
CantonS,5,20,66,-0.534883721,17.2,10_3',,
CantonS,5,1,83,-0.976190476,16.8,10_3',,
CantonS,5,1,97,-0.979591837,19.6,10_3',,
CantonS,5,3,92,-0.936842105,19,10_3',,
CantonS,5,1,72,-0.97260274,14.6,10_3',,
CantonS,5,43,157,-0.57,40,10_3',,
CantonS,5,53,164,-0.511520737,43.4,10_3',,
Or49a-GAL4/UAS-Or56a,5,30,84,-0.473684211,22.8,10_3',"N.B. May have inadvertently used U17:49 i.e. the Or56a-/-, rather than UAS-Or56a (U17:15). Need to double check this. ",
Or49a-GAL4/UAS-Or56a,5,15,89,-0.711538462,20.8,10_3',,
Or49a-GAL4/UAS-Or56a,5,34,145,-0.620111732,35.8,10_3',,
Or49a-GAL4/UAS-Or56a,5,65,113,-0.269662921,35.6,10_3',,
Or49a-GAL4/UAS-Or56a,5,2,148,-0.973333333,30,10_3',,
Or49a-GAL4/UAS-Or56a,5,1,175,-0.988636364,35.2,10_3',,
Or49a-GAL4/UAS-Or56a,5,7,160,-0.916167665,33.4,10_3',,
Or49a-GAL4/UAS-Or56a,5,11,178,-0.883597884,37.8,10_3',,
Or49a-GAL4/UAS-Or56a,5,5,189,-0.948453608,38.8,10_3',,
Or49a-GAL4/UAS-Or56a,5,31,165,-0.683673469,39.2,10_3',,
Or49a-GAL4/UAS-Or56a,5,2,201,-0.980295567,40.6,10_3',,
Or49a-GAL4/UAS-Or56a,5,58,136,-0.402061856,38.8,10_3',,
Or49a-GAL4/UAS-Or56a,5,42,106,-0.432432432,29.6,10_3',,
Or49a-GAL4/UAS-Or56a,5,3,198,-0.970149254,40.2,10_3',,
CantonS,5,1,35,-0.944444444,7.2,10_6',,
CantonS,5,5,12,-0.411764706,3.4,10_6',,
CantonS,5,14,23,-0.243243243,7.4,10_6',,
CantonS,5,7,33,-0.65,8,10_6',,
CantonS,5,4,30,-0.764705882,6.8,10_6',,
CantonS,5,1,31,-0.9375,6.4,10_6',,
CantonS,5,3,38,-0.853658537,8.2,10_6',,
CantonS,5,7,0,1,1.4,10_6',,
CantonS,5,4,29,-0.757575758,6.6,10_6',,
CantonS,5,7,11,-0.222222222,3.6,10_6',,
Or49a-GAL4/UAS-Or56a,5,74,124,-0.252525253,39.6,10_6',,
Or49a-GAL4/UAS-Or56a,5,72,122,-0.257731959,38.8,10_6',,
Or49a-GAL4/UAS-Or56a,5,41,98,-0.410071942,27.8,10_6',,
Or49a-GAL4/UAS-Or56a,5,70,88,-0.113924051,31.6,10_6',,
Or49a-GAL4/UAS-Or56a,5,37,143,-0.588888889,36,10_6',,
Or49a-GAL4/UAS-Or56a,5,35,157,-0.635416667,38.4,10_6',,
Or49a-GAL4/UAS-Or56a,5,7,138,-0.903448276,29,10_6',,
Or49a-GAL4/UAS-Or56a,5,9,110,-0.848739496,23.8,10_6',,
Or49a-GAL4/UAS-Or56a,5,21,138,-0.735849057,31.8,10_6',,
Or49a-GAL4/UAS-Or56a,5,5,152,-0.936305732,31.4,10_6',,
